													0.806591931	1.747260787	0.184406952	-0.310089138	0.805094953	-2.439043559							
P51114	FXR1_HUMAN	FXR1	Fragile X mental retardation syndrome-related protein 1	15	13	6.60E+06	HUMAN	4174340	22.65340929	21.99311668	-0.660292608	0.632749949	0.632749949			-0.660292608			P32583	SRP40_YEAST	SRP40	Suppressor protein SRP40	4	4	2.94E+06
P51116	FXR2_HUMAN	FXR2	Fragile X mental retardation syndrome-related protein 2	11	11	849630	HUMAN	612235	19.69647518	19.223726	-0.472749185	0.720590139	0.720590139			-0.472749185			P32585	MED18_YEAST	SRB5	Mediator of RNA polymerase II transcription subunit 18	4	4	798968
P51148	RAB5C_HUMAN	RAB5C	Ras-related protein Rab-5C	6	4	1.21E+07	HUMAN	1901780	23.53126722	20.85891893	-2.67234829	0.156871123	0.156871123			-2.67234829			P32588	PUB1_YEAST	PUB1	Nuclear and cytoplasmic polyadenylated RNA-binding protein PUB1	6	6	1.67E+07
P51149	RAB7A_HUMAN	RAB7A	Ras-related protein Rab-7a	12	9	1.41E+07	HUMAN	14994000	23.7514513	23.83788197	0.086430669	1.061740109	1.061740109			0.086430669			P32589	HSP7F_YEAST	SSE1	Heat shock protein homolog SSE1	24	19	5.01E+07
P51151	RAB9A_HUMAN	RAB9A	Ras-related protein Rab-9A	6	4	2.71E+06	HUMAN	2222620	21.37237197	21.08382988	-0.288542091	0.818729003	0.818729003			-0.288542091			P32590	HSP79_YEAST	SSE2	Heat shock protein homolog SSE2	14	14	2.97E+06
P51153	RAB13_HUMAN	RAB13	Ras-related protein Rab-13	4	4	4.44E+06	HUMAN	427155	22.08275847	18.70440014	-3.378358331	0.096164063	0.096164063			-3.378358331			P32591	SWI3_YEAST	SWI3	SWI/SNF complex subunit SWI3	15	15	7.15E+06
P51159	RB27A_HUMAN	RAB27A	Ras-related protein Rab-27A	5	4	789430	HUMAN	216162	19.59045182	17.7217534	-1.868698418	0.273820351	0.273820351			-1.868698418			P32597	STH1_YEAST	STH1	Nuclear protein STH1/NPS1	28	28	1.39E+06
P51397	DAP1_HUMAN	DAP	Death-associated protein 1	3	3	514512	HUMAN	1135780	18.9728452	20.11525198	1.142406782	2.207489816	2.207489816			1.142406782			P32598	PP12_YEAST	GLC7	Serine/threonine-protein phosphatase PP1-2	12	9	1.76E+07
P51398	RT29_HUMAN	DAP3	"28S ribosomal protein S29, mitochondrial"	7	7	1.14E+06	HUMAN	781645	20.1206277	19.576154	-0.544473703	0.68564148	0.68564148			-0.544473703			P32599	FIMB_YEAST	SAC6	Fimbrin	19	19	1.78E+07
P51452	DUS3_HUMAN	DUSP3	Dual specificity protein phosphatase 3	4	4	715485	HUMAN	56330.4	19.448562	15.7816261	-3.6669359	0.078730372	0.078730372			-3.6669359			P32600	TOR2_YEAST	TOR2	Serine/threonine-protein kinase TOR2	6	6	277495
P51531	SMCA2_HUMAN	SMARCA2	Probable global transcription activator SNF2L2	5	5	144644	HUMAN	112633	17.14214695	16.78127005	-0.3608769	0.778691131	0.778691131			-0.3608769			P32601	DSS4_YEAST	DSS4	Protein DSS4	2	2	29866.6
P51532	SMCA4_HUMAN	SMARCA4	Transcription activator BRG1	14	5	1.05E+07	HUMAN	719982	23.31930332	19.45760131	-3.861702004	0.06878787	0.06878787			-3.861702004			P32602	SEC17_YEAST	SEC17	Alpha-soluble NSF attachment protein	10	10	4.09E+06
P51553	IDH3G_HUMAN	IDH3G	"Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	5	5	450823	HUMAN	188421	18.78220159	17.52360024	-1.258601355	0.417948951	0.417948951			-1.258601355			P32604	F26_YEAST	FBP26	"Fructose-2,6-bisphosphatase"	12	11	1.99E+06
P51570	GALK1_HUMAN	GALK1	Galactokinase	13	13	3.55E+06	HUMAN	827461	21.75999299	19.65833179	-2.101661202	0.232989816	0.232989816			-2.101661202			P32607	RTG1_YEAST	RTG1	Retrograde regulation protein 1	2	2	281015
P51571	SSRD_HUMAN	SSR4	Translocon-associated protein subunit delta	4	4	4.06E+06	HUMAN	3511070	21.95434472	21.74347933	-0.210865389	0.864018801	0.864018801			-0.210865389			P32608	RTG2_YEAST	RTG2	Retrograde regulation protein 2	20	20	3.36E+06
P51572	BAP31_HUMAN	BCAP31	B-cell receptor-associated protein 31	8	8	5.94E+06	HUMAN	7690510	22.50292501	22.87464784	0.371722829	1.293897047	1.293897047			0.371722829			P32614	FRDS_YEAST	FRD1	Fumarate reductase 1	17	17	1.90E+07
P51580	TPMT_HUMAN	TPMT	Thiopurine S-methyltransferase	4	4	822348	HUMAN	1142700	19.64938952	20.12401526	0.474625748	1.389557705	1.389557705			0.474625748			P32617	IES6_YEAST	IES6	Chromatin-remodeling complex subunit IES6	6	6	870488
P51608	MECP2_HUMAN	MECP2	Methyl-CpG-binding protein 2	6	6	3.29E+06	HUMAN	137551	21.65037951	17.0696071	-4.580772409	0.041787857	0.041787857			-4.580772409			P32618	YEF3_YEAST	YEL043W	Uncharacterized protein YEL043W	9	9	547044
P51610	HCFC1_HUMAN	HCFC1	Host cell factor 1	35	34	3.19E+06	HUMAN	3408410	21.60396675	21.70066746	0.096700704	1.069325227	1.069325227			0.096700704			P32621	GDA1_YEAST	GDA1	Guanosine-diphosphatase	10	10	3.93E+06
P51648	AL3A2_HUMAN	ALDH3A2	Aldehyde dehydrogenase family 3 member A2	10	9	6.39E+07	HUMAN	4414660	25.92934646	22.0738709	-3.85547556	0.069085389	0.069085389			-3.85547556			P32622	YEF1_YEAST	YEF1	ATP-NADH kinase YEF1	2	2	205930
P51649	SSDH_HUMAN	ALDH5A1	"Succinate-semialdehyde dehydrogenase, mitochondrial"	7	7	1.99E+06	HUMAN	22171.1	20.92575	14.43639273	-6.489357274	0.01113035	0.01113035			-6.489357274			P32623	CRH2_YEAST	UTR2	Probable glycosidase CRH2	4	4	3.63E+06
P51659	DHB4_HUMAN	HSD17B4	Peroxisomal multifunctional enzyme type 2	20	20	5.31E+06	HUMAN	3591710	22.34100839	21.77623944	-0.564768948	0.676063682	0.676063682			-0.564768948			P32626	ENOPH_YEAST	UTR4	Enolase-phosphatase E1	4	4	1.61E+06
P51665	PSMD7_HUMAN	PSMD7	26S proteasome non-ATPase regulatory subunit 7	9	9	3.19E+06	HUMAN	2193650	21.60390339	21.06490193	-0.539001457	0.688247106	0.688247106			-0.539001457			P32628	RAD23_YEAST	RAD23	UV excision repair protein RAD23	10	10	4.88E+06
P51668;Q9Y2X8	UB2D1_HUMAN;UB2D4_HUMAN	UBE2D1;UBE2D4	Ubiquitin-conjugating enzyme E2 D1	1	0	694605	HUMAN	176194	19.40583327	17.42680527	-1.979027999	0.253660714	0.253660714			-1.979027999			P32629	ANP1_YEAST	ANP1	Mannan polymerase II complex ANP1 subunit	8	8	683127
P51692	STA5B_HUMAN	STAT5B	Signal transducer and activator of transcription 5B	11	3	766432	HUMAN	246589	19.54779827	17.91174892	-1.636049353	0.321736305	0.321736305			-1.636049353			P32639	BRR2_YEAST	BRR2	Pre-mRNA-splicing helicase BRR2	20	19	1.52E+06
P51784	UBP11_HUMAN	USP11	Ubiquitin carboxyl-terminal hydrolase 11	9	9	1.03E+06	HUMAN	771272	19.97780816	19.55688021	-0.420927946	0.746944033	0.746944033			-0.420927946			P32642	GLRX4_YEAST	GRX4	Monothiol glutaredoxin-4	2	2	6881.65
P51790	CLCN3_HUMAN	CLCN3	H(+)/Cl(-) exchange transporter 3	1	0	4616.95	HUMAN		12.17272439										P32643	TMT1_YEAST	TMT1	Trans-aconitate 3-methyltransferase	5	5	596448
P51798	CLCN7_HUMAN	CLCN7	H(+)/Cl(-) exchange transporter 7	5	5	1.67E+06	HUMAN	1574370	20.66945431	20.5863432	-0.083111105	0.944019715	0.944019715			-0.083111105			P32644	ECM32_YEAST	ECM32	Putative ATP-dependent RNA helicase ECM32	12	12	1.07E+06
P51808	DYLT3_HUMAN	DYNLT3	Dynein light chain Tctex-type 3	2	2	359883	HUMAN	100622	18.45716843	16.61858624	-1.838582184	0.279596424	0.279596424			-1.838582184			P32656	CHAC_YEAST	GCG1	Glutathione-specific gamma-glutamylcyclotransferase	4	4	165427
P51809	VAMP7_HUMAN	VAMP7	Vesicle-associated membrane protein 7	3	3	1.97E+06	HUMAN	3088250	20.90790287	21.55835812	0.650455241	1.569663424	1.569663424			0.650455241			P32657	CHD1_YEAST	CHD1	Chromo domain-containing protein 1	23	22	2.46E+06
P51812	KS6A3_HUMAN	RPS6KA3	Ribosomal protein S6 kinase alpha-3	16	11	1.09E+06	HUMAN	1466900	20.05725934	20.48433909	0.427079753	1.344509317	1.344509317			0.427079753			P32660	ATC5_YEAST	DNF1	Phospholipid-transporting ATPase DNF1	23	19	8.26E+06
P51858	HDGF_HUMAN	HDGF	Hepatoma-derived growth factor	13	13	2.54E+07	HUMAN	17761900	24.59739904	24.08228258	-0.51511646	0.699736445	0.699736445			-0.51511646			P32767	KA122_YEAST	KAP122	Importin beta-like protein KAP122	6	6	6.41E+06
P51884	LUM_HUMAN	LUM	Lumican	1	1	480752	HUMAN	758592	18.87493333	19.53296463	0.658031298	1.577927913	1.577927913			0.658031298			P32769	HBS1_YEAST	HBS1	Elongation factor 1 alpha-like protein	10	10	879120
P51946	CCNH_HUMAN	CCNH	Cyclin-H	3	3	61446.7	HUMAN	9035.84	15.90704791	13.14144301	-2.765604903	0.147051672	0.147051672			-2.765604903			P32770	DRI1_YEAST	NRP1	Putative RNA-binding protein involved in heterochromatin assembly	2	2	567615
P51948	MAT1_HUMAN	MNAT1	CDK-activating kinase assembly factor MAT1	3	3	157221	HUMAN	55222.1	17.26243441	15.75295813	-1.509476274	0.351238702	0.351238702			-1.509476274			P32771	FADH_YEAST	SFA1	S-(hydroxymethyl)glutathione dehydrogenase	8	8	4.20E+06
P51965	UB2E1_HUMAN	UBE2E1	Ubiquitin-conjugating enzyme E2 E1	1	1	33567	HUMAN	21345.3	15.03475598	14.38163082	-0.653125165	0.635901332	0.635901332			-0.653125165			P32773	TOA1_YEAST	TOA1	Transcription initiation factor IIA large subunit	1	1	4425.59
P51970	NDUA8_HUMAN	NDUFA8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8	6	6	1.63E+07	HUMAN	34756700	23.95946572	25.05078778	1.091322053	2.130691989	2.130691989			1.091322053			P32774	T2AG_YEAST	TOA2	Transcription initiation factor IIA subunit 2	2	2	510022
P51991	ROA3_HUMAN	HNRNPA3	Heterogeneous nuclear ribonucleoprotein A3	9	7	7.19E+06	HUMAN	9170260	22.7766772	23.12853121	0.351854011	1.276199621	1.276199621			0.351854011			P32775	GLGB_YEAST	GLC3	"1,4-alpha-glucan-branching enzyme"	19	19	5.64E+06
P52209	6PGD_HUMAN	PGD	"6-phosphogluconate dehydrogenase, decarboxylating"	13	13	6.91E+06	HUMAN	6255040	22.71959228	22.57658768	-0.143004604	0.905631093	0.905631093			-0.143004604			P32776	TFB1_YEAST	TFB1	General transcription and DNA repair factor IIH subunit TFB1	4	4	731814
P52272	HNRPM_HUMAN	HNRNPM	Heterogeneous nuclear ribonucleoprotein M	36	36	2.25E+07	HUMAN	10317000	24.42527354	23.29852019	-1.126753352	0.457945128	0.457945128			-1.126753352			P32783	MCES_YEAST	ABD1	mRNA cap guanine-N7 methyltransferase	7	7	1.30E+07
P52292	IMA1_HUMAN	KPNA2	Importin subunit alpha-1	10	10	3.62E+06	HUMAN	3229300	21.78598719	21.62279004	-0.163197143	0.89304381	0.89304381			-0.163197143			P32784	GPT1_YEAST	SCT1	Glycerol-3-phosphate O-acyltransferase 1	5	5	100533
P52294	IMA5_HUMAN	KPNA1	Importin subunit alpha-5	11	6	1.27E+06	HUMAN	1486330	20.27366813	20.50332303	0.229654899	1.172554434	1.172554434			0.229654899			P32787	MG101_YEAST	MGM101	Mitochondrial genome maintenance protein MGM101	9	9	2.79E+07
P52298	NCBP2_HUMAN	NCBP2	Nuclear cap-binding protein subunit 2	3	2	803144	HUMAN	430600	19.61529915	18.71598879	-0.89931036	0.536142958	0.536142958			-0.89931036			P32788	YBB0_YEAST	YBL010C	Uncharacterized protein YBL010C	2	2	243387
P52306	GDS1_HUMAN	RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1	13	13	403450	HUMAN	361976	18.62203036	18.46553452	-0.156495844	0.897201636	0.897201636			-0.156495844			P32790	SLA1_YEAST	SLA1	Actin cytoskeleton-regulatory complex protein SLA1	15	15	2.34E+06
P52434	RPAB3_HUMAN	POLR2H	"DNA-directed RNA polymerases I, II, and III subunit RPABC3"	4	4	2.79E+06	HUMAN	1798740	21.40991399	20.77855524	-0.631358757	0.645568121	0.645568121			-0.631358757			P32791	FRE1_YEAST	FRE1	Ferric/cupric reductase transmembrane component 1	2	2	81721.5
P52435;Q9GZM3;Q9H1A7	RPB11_HUMAN;RPB1B_HUMAN;RPB1C_HUMAN	POLR2J;POLR2J2;POLR2J3	DNA-directed RNA polymerase II subunit RPB11-a	1	0	621854	HUMAN	181663	19.24621638	17.47090508	-1.775311291	0.292131272	0.292131272			-1.775311291			P32792	YHH7_YEAST	YSC83	UPF0744 protein YSC83	2	2	1.50E+06
P52564	MP2K6_HUMAN	MAP2K6	Dual specificity mitogen-activated protein kinase kinase 6	10	9	1.60E+06	HUMAN	970970	20.60982982	19.8890672	-0.72076262	0.606776611	0.606776611			-0.72076262			P32793	YSC84_YEAST	YSC84	Protein YSC84	11	9	4.70E+06
P52565	GDIR1_HUMAN	ARHGDIA	Rho GDP-dissociation inhibitor 1	7	7	8.23E+06	HUMAN	10041300	22.97227167	23.25944272	0.287171058	1.220245184	1.220245184			0.287171058			P32794	AFG2_YEAST	AFG2	ATPase family gene 2 protein	14	13	6.96E+06
P52569	CTR2_HUMAN	SLC7A2	Cationic amino acid transporter 2	7	6	4.16E+06	HUMAN	3358020	21.98647954	21.67917939	-0.307300152	0.808152715	0.808152715			-0.307300152			P32795	YME1_YEAST	YME1	Mitochondrial inner membrane i-AAA protease supercomplex subunit YME1	17	17	1.44E+06
P52594	AGFG1_HUMAN	AGFG1	Arf-GAP domain and FG repeat-containing protein 1	5	5	852623	HUMAN	659579	19.70154845	19.33118594	-0.370362507	0.773588092	0.773588092			-0.370362507			P32796	CACP_YEAST	CAT2	"Carnitine O-acetyltransferase, mitochondrial"	9	9	608533
P52597	HNRPF_HUMAN	HNRNPF	Heterogeneous nuclear ribonucleoprotein F	12	11	7.40E+06	HUMAN	6699470	22.81939015	22.67561554	-0.14377461	0.905147862	0.905147862			-0.14377461			P32798	COT1_YEAST	COT1	Vacuolar zinc transporter COT1	6	6	3.80E+06
P52630	STAT2_HUMAN	STAT2	Signal transducer and activator of transcription 2	4	4	149773	HUMAN	153959	17.19241804	17.23218668	0.039768637	1.027948963	1.027948963			0.039768637			P32802	TMN1_YEAST	EMP70	Transmembrane 9 superfamily member 1	9	8	2.97E+06
P52655	TF2AA_HUMAN	GTF2A1	Transcription initiation factor IIA subunit 1	1	1	40175.8	HUMAN	1243510	15.29403913	20.24598668	4.951947547	30.9517172	30.9517172			4.951947547			P32803	EMP24_YEAST	EMP24	Endosomal protein P24B	5	5	7.46E+06
P52657	T2AG_HUMAN	GTF2A2	Transcription initiation factor IIA subunit 2	1	1	424458	HUMAN	2504260	18.69526228	21.25595292	2.560690643	5.899900579	5.899900579			2.560690643			P32805	FZF1_YEAST	FZF1	Zinc finger protein FZF1	1	1	90803.1
P52701	MSH6_HUMAN	MSH6	DNA mismatch repair protein Msh6	31	31	3.61E+06	HUMAN	14283300	21.78526886	23.767826	1.982557138	3.951929302	3.951929302			1.982557138			P32806	GYP6_YEAST	GYP6	GTPase-activating protein GYP6	6	6	7.36E+06
P52732	KIF11_HUMAN	KIF11	Kinesin-like protein KIF11	17	17	593527	HUMAN	125846	19.17895414	16.94129984	-2.237654299	0.212030792	0.212030792			-2.237654299			P32829	MRE11_YEAST	MRE11	Double-strand break repair protein MRE11	2	2	989512
P52735	VAV2_HUMAN	VAV2	Guanine nucleotide exchange factor VAV2	4	4	644037	HUMAN	1486020	19.29678405	20.5030221	1.206238054	2.307351907	2.307351907			1.206238054			P32831	NGR1_YEAST	NGR1	Negative growth regulatory protein NGR1	8	8	7.57E+06
P52756	RBM5_HUMAN	RBM5	RNA-binding protein 5	8	8	295293	HUMAN	1269960	18.17178763	20.27635163	2.104563995	4.300677632	4.300677632			2.104563995			P32832	RSC7_YEAST	NPL6	Chromatin structure-remodeling complex subunit RSC7	10	10	5.19E+06
P52758	RIDA_HUMAN	RIDA	2-iminobutanoate/2-iminopropanoate deaminase	3	3	990401	HUMAN	726502	19.91765325	19.47060724	-0.447046002	0.733543282	0.733543282			-0.447046002			P32835;P32836	GSP1_YEAST;GSP2_YEAST	GSP1;GSP2	GTP-binding nuclear protein GSP1/CNR1	1	0	2.35E+07
P52788	SPSY_HUMAN	SMS	Spermine synthase	9	9	6.00E+06	HUMAN	4164680	22.51687968	21.98977422	-0.527105462	0.69394563	0.69394563			-0.527105462			P32839	BCS1_YEAST	BCS1	Mitochondrial chaperone BCS1	1	1	5629.14
P52789	HXK2_HUMAN	HK2	Hexokinase-2	24	20	5.88E+06	HUMAN	1495850	22.48811325	20.51253408	-1.975579167	0.254267827	0.254267827			-1.975579167			P32842	VATL2_YEAST	VMA11	V-type proton ATPase subunit c'	1	1	719876
P52803	EFNA5_HUMAN	EFNA5	Ephrin-A5	1	1	5043.67	HUMAN		12.30025817										P32843	YME2_YEAST	YME2	Mitochondrial escape protein 2	21	21	1.68E+06
P52815	RM12_HUMAN	MRPL12	"39S ribosomal protein L12, mitochondrial"	3	3	8.48E+06	HUMAN	7572400	23.01641011	22.85231919	-0.164090924	0.892490721	0.892490721			-0.164090924			P32844	SEC6_YEAST	SEC6	Exocyst complex component SEC6	5	5	251934
P52888	THOP1_HUMAN	THOP1	Thimet oligopeptidase	18	18	7.67E+06	HUMAN	2345240	22.86998611	21.16130414	-1.70868197	0.305939445	0.305939445			-1.70868197			P32854	PEP12_YEAST	PEP12	Syntaxin PEP12	3	3	33481.6
P52907	CAZA1_HUMAN	CAPZA1	F-actin-capping protein subunit alpha-1	11	9	8.49E+06	HUMAN	6861390	23.01705951	22.71006944	-0.306990071	0.808326432	0.808326432			-0.306990071			P32855	SEC8_YEAST	SEC8	Exocyst complex component SEC8	5	5	204212
P52943	CRIP2_HUMAN	CRIP2	Cysteine-rich protein 2	7	7	1.81E+06	HUMAN	4601250	20.78455018	22.13359441	1.349044232	2.547433051	2.547433051			1.349044232			P32857	PTM1_YEAST	PTM1	Membrane protein PTM1	6	6	2.63E+06
P52948	NUP98_HUMAN	NUP98	Nuclear pore complex protein Nup98-Nup96	32	32	3.64E+06	HUMAN	8455860	21.79467446	23.01152006	1.216845605	2.32437945	2.32437945			1.216845605			P32860	NFU1_YEAST	NFU1	"NifU-like protein, mitochondrial"	10	10	7.13E+06
P53004	BIEA_HUMAN	BLVRA	Biliverdin reductase A	9	9	3.58E+06	HUMAN	5842180	21.77102837	22.47807538	0.707047012	1.632459288	1.632459288			0.707047012			P32861	UGPA1_YEAST	UGP1	UTP--glucose-1-phosphate uridylyltransferase	14	14	2.16E+07
P53007	TXTP_HUMAN	SLC25A1	"Tricarboxylate transport protein, mitochondrial"	6	6	3.66E+06	HUMAN	4438280	21.80241854	22.08156926	0.279150711	1.21348032	1.21348032			0.279150711			P32862	RGT1_YEAST	RGT1	Glucose transport transcription regulator RGT1	2	2	69693.2
P53041	PPP5_HUMAN	PPP5C	Serine/threonine-protein phosphatase 5	13	13	1.35E+06	HUMAN	632977	20.36329849	19.27179355	-1.091504937	0.469271602	0.469271602			-1.091504937			P32864	RAEP_YEAST	MRS6	Rab proteins geranylgeranyltransferase component A	10	10	984065
P53350	PLK1_HUMAN	PLK1	Serine/threonine-protein kinase PLK1	6	6	59417.1	HUMAN	97833.7	15.85859057	16.57804388	0.719453312	1.646557977	1.646557977			0.719453312			P32867	SSO1_YEAST	SSO1	Protein SSO1	5	4	4.63E+06
P53365	ARFP2_HUMAN	ARFIP2	Arfaptin-2	4	4	390109	HUMAN	264651	18.57351776	18.01373158	-0.559786177	0.678402703	0.678402703			-0.559786177			P32873	BEM3_YEAST	BEM3	GTPase-activating protein BEM3	9	9	211776
P53367	ARFP1_HUMAN	ARFIP1	Arfaptin-1	6	6	323068	HUMAN	6796650	18.30147833	22.6963924	4.394914068	21.03783104	21.03783104			4.394914068			P32875	LIPA_YEAST	LIP5	"Lipoyl synthase, mitochondrial"	5	5	256048
P53384	NUBP1_HUMAN	NUBP1	Cytosolic Fe-S cluster assembly factor NUBP1	2	2	1.53E+06	HUMAN	903492	20.54381726	19.7851523	-0.758664955	0.591043019	0.591043019			-0.758664955			P32891	DLD1_YEAST	DLD1	"D-lactate dehydrogenase [cytochrome] 1, mitochondrial"	15	15	3.29E+06
P53396	ACLY_HUMAN	ACLY	ATP-citrate synthase	39	39	9.76E+06	HUMAN	6453910	23.21859014	22.62174203	-0.596848108	0.661196912	0.661196912			-0.596848108			P32892	DRS1_YEAST	DRS1	ATP-dependent RNA helicase DRS1	12	12	2.97E+06
P53582	MAP11_HUMAN	METAP1	Methionine aminopeptidase 1	10	10	2.09E+06	HUMAN	800842	20.99762331	19.61115811	-1.386465195	0.382500836	0.382500836			-1.386465195			P32893	TRS65_YEAST	TRS65	Trafficking protein particle complex II-specific subunit 65	1	1	6388.69
P53597	SUCA_HUMAN	SUCLG1	"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial"	5	5	3.23E+06	HUMAN	2549660	21.62270962	21.28187344	-0.34083618	0.78958354	0.78958354			-0.34083618			P32895	KPR1_YEAST	PRS1	Ribose-phosphate pyrophosphokinase 1	9	9	8.36E+06
P53602	MVD1_HUMAN	MVD	Diphosphomevalonate decarboxylase	4	4	1.92E+06	HUMAN	2068220	20.87509237	20.97995823	0.104865852	1.075394391	1.075394391			0.104865852			P32896	PDC2_YEAST	PDC2	Protein PDC2	3	3	13175.5
P53609	PGTB1_HUMAN	PGGT1B	Geranylgeranyl transferase type-1 subunit beta	4	4	1.16E+06	HUMAN		20.14995298										P32897	TIM23_YEAST	TIM23	Mitochondrial import inner membrane translocase subunit TIM23	4	4	2.62E+06
P53611	PGTB2_HUMAN	RABGGTB	Geranylgeranyl transferase type-2 subunit beta	5	5	1.35E+06	HUMAN	757912	20.36133984	19.53167082	-0.829669017	0.562658312	0.562658312			-0.829669017			P32898	PREP_YEAST	CYM1	"Presequence protease, mitochondrial"	21	21	2.03E+07
P53618	COPB_HUMAN	COPB1	Coatomer subunit beta	24	24	3.77E+06	HUMAN	4663930	21.84656163	22.1531147	0.306553077	1.236749295	1.236749295			0.306553077			P32899	IMP3_YEAST	IMP3	U3 small nucleolar ribonucleoprotein protein IMP3	3	3	701030
P53621	COPA_HUMAN	COPA	Coatomer subunit alpha	39	38	5.65E+06	HUMAN	11698700	22.42912729	23.47984489	1.050717598	2.071559987	2.071559987			1.050717598			P32900	SKG6_YEAST	SKG6	Protein SKG6	2	2	8701.09
P53634	CATC_HUMAN	CTSC	Dipeptidyl peptidase 1	8	8	5.83E+06	HUMAN	6034760	22.47464866	22.52486497	0.050216307	1.035420155	1.035420155			0.050216307			P32901	PTR2_YEAST	PTR2	Peptide transporter PTR2	5	5	1.19E+06
P53680	AP2S1_HUMAN	AP2S1	AP-2 complex subunit sigma	3	3	1.83E+06	HUMAN	1406590	20.80164521	20.42377044	-0.377874779	0.769570403	0.769570403			-0.377874779			P32902	RT04_YEAST	MRP4	Small ribosomal subunit protein uS2m	2	2	23703.6
P53701	CCHL_HUMAN	HCCS	Cytochrome c-type heme lyase	11	11	1.60E+06	HUMAN	836976	20.61194694	19.67482673	-0.937120213	0.522274361	0.522274361			-0.937120213			P32905	RSSA1_YEAST	RPS0A	Small ribosomal subunit protein uS2A	1	1	2.78E+06
P53801	PTTG_HUMAN	PTTG1IP	Pituitary tumor-transforming gene 1 protein-interacting protein	3	3	1.42E+06	HUMAN	1006670	20.44128468	19.9411594	-0.500125282	0.70704538	0.70704538			-0.500125282			P32906	MNS1_YEAST	MNS1	"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase"	8	8	764374
P53985	MOT1_HUMAN	SLC16A1	Monocarboxylate transporter 1	4	4	7.72E+06	HUMAN	5499930	22.88013017	22.39098183	-0.489148346	0.712445546	0.712445546			-0.489148346			P32908	SMC1_YEAST	SMC1	Structural maintenance of chromosomes protein 1	10	10	1.32E+06
P53990	IST1_HUMAN	IST1	IST1 homolog	5	5	1.06E+06	HUMAN	648990	20.01582337	19.30783672	-0.707986643	0.612173864	0.612173864			-0.707986643			P32909	SMY2_YEAST	SMY2	Protein SMY2	12	12	610845
P53992	SC24C_HUMAN	SEC24C	Protein transport protein Sec24C	14	14	1.58E+06	HUMAN	685166	20.59586025	19.38609404	-1.209766215	0.432338669	0.432338669			-1.209766215			P32910	RPC6_YEAST	RPC34	DNA-directed RNA polymerase III subunit RPC6	4	4	132055
P53999	TCP4_HUMAN	SUB1	Activated RNA polymerase II transcriptional coactivator p15	5	5	2.07E+07	HUMAN	17176800	24.30450674	24.03395795	-0.270548787	0.829004141	0.829004141			-0.270548787			P32911	SUI1_YEAST	SUI1	Eukaryotic translation initiation factor eIF-1	7	7	5.87E+06
P54098	DPOG1_HUMAN	POLG	DNA polymerase subunit gamma-1	2	2	9407.27	HUMAN	6777.06	13.1995604	12.72644383	-0.473116568	0.720406664	0.720406664			-0.473116568			P32912	VAM7_YEAST	VAM7	Vacuolar morphogenesis protein 7	5	5	63704.1
P54105	ICLN_HUMAN	CLNS1A	Methylosome subunit pICln	4	4	3.18E+06	HUMAN	408818	21.59972855	18.64109919	-2.958629357	0.128636382	0.128636382			-2.958629357			P32913	VPS17_YEAST	VPS17	Vacuolar protein sorting-associated protein 17	6	6	1.29E+06
P54132	BLM_HUMAN	BLM	Bloom syndrome protein	2	2	3016.9	HUMAN		11.55885116										P32914	SPT4_YEAST	SPT4	Transcription elongation factor SPT4	3	3	358258
P54136	SYRC_HUMAN	RARS1	"Arginine--tRNA ligase, cytoplasmic"	24	24	4.41E+06	HUMAN	4261740	22.07135237	22.02301115	-0.048341222	0.967047579	0.967047579			-0.048341222			P32915	SC61A_YEAST	SEC61	Protein transport protein SEC61	7	7	4.70E+06
P54198	HIRA_HUMAN	HIRA	Protein HIRA	2	2	2.94E+06	HUMAN		21.48837562										P32916	SRPR_YEAST	SRP101	Signal recognition particle receptor subunit alpha homolog	15	15	2.17E+06
P54259	ATN1_HUMAN	ATN1	Atrophin-1	1	1	1.93E+06	HUMAN		20.87676423										P32917	STE5_YEAST	STE5	Protein STE5	1	1	2370.44
P54278	PMS2_HUMAN	PMS2	Mismatch repair endonuclease PMS2	5	4	1.83E+06	HUMAN	346075	20.80594063	18.4007252	-2.405215429	0.188780882	0.188780882			-2.405215429			P32929	CGL_HUMAN	CTH	Cystathionine gamma-lyase	3	3	258531
P54289	CA2D1_HUMAN	CACNA2D1	Voltage-dependent calcium channel subunit alpha-2/delta-1	10	9	796631	HUMAN	978112	19.6035521	19.89964015	0.296088051	1.227810617	1.227810617			0.296088051			P32939	YPT7_YEAST	YPT7	Ypt/Rab-type GTPase YPT7	4	4	1.35E+06
P54577	SYYC_HUMAN	YARS1	"Tyrosine--tRNA ligase, cytoplasmic"	27	27	6.62E+06	HUMAN	4053870	22.6589249	21.95086839	-0.708056507	0.612144219	0.612144219			-0.708056507			P32969	RL9_HUMAN	RPL9	60S ribosomal protein L9	7	7	2.41E+07
