Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle81_20251031173233.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle81_20251101011756.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle81_20251101093153.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle81_20251031190108.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle81_20251031234918.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle81_20251101070439.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle51_20251031202946.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle51_20251101024632.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle51_20251101083316.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle51_20251031212821.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle51_20251101060602.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle51_20251101034509.raw
P07253		CBP6		1	1							1.31808e+06	1.79811e+06	1.35772e+06	1.20913e+06	1.44167e+06	1.13197e+06
P07256		COR1		5	5	1.5665e+07	1.76306e+07	1.43642e+07	4.62468e+06	4.9514e+06	5.10106e+06	1.64182e+07	1.7318e+07	1.48336e+07	6.17099e+06	6.6344e+06	6.14803e+06
P07257		QCR2		8	8	5.64089e+07	5.64535e+07	6.10654e+07	3.2617e+07	3.22641e+07	2.7907e+07	5.13985e+07	5.69715e+07	5.87371e+07	2.92056e+07	2.85178e+07	2.69785e+07
P07259		URA2		65	64	1.53161e+08	1.66489e+08	1.54796e+08	1.06684e+08	9.47738e+07	8.98791e+07	1.52304e+08	1.56149e+08	1.58311e+08	8.37725e+07	8.27515e+07	8.27474e+07
P07260		CDC33		5	5	9.21557e+07	9.62564e+07	8.53568e+07	3.63326e+07	3.42572e+07	3.90768e+07	7.91129e+07	9.89884e+07	8.74447e+07	3.64825e+07	3.86224e+07	3.5147e+07
P07262		GDH1		13	8	6.24584e+07	7.39828e+07	6.83717e+07	3.58566e+07	3.4867e+07	3.35715e+07	6.52413e+07	6.83925e+07	6.89161e+07	3.3309e+07	3.27032e+07	3.00455e+07
P07263		HTS1		7	6	2.78445e+07	3.26678e+07	2.8097e+07	1.99651e+07	2.12013e+07	1.93969e+07	3.39208e+07	3.40713e+07	3.38772e+07	1.8208e+07	1.86285e+07	1.81458e+07
P07264		LEU1		3	3	8.35249e+06	1.03537e+07	9.24483e+06	4.45467e+06	4.58206e+06	4.26895e+06	1.37465e+07	1.34302e+07	1.47935e+07	1.01901e+07	9.63598e+06	1.00364e+07
P07267		PEP4		9	9	1.86108e+08	2.02441e+08	1.69014e+08	1.20468e+08	1.16315e+08	1.11768e+08	1.89669e+08	1.82006e+08	1.81704e+08	9.836e+07	9.82651e+07	9.82167e+07
P07273		DST1		2	2	2.29495e+06	2.7009e+06	2.55578e+06	985108	1.11955e+06	970908	3.34396e+06	4.13469e+06	2.92567e+06	964250	737678	594037
P07274		PFY1		2	2	2.11353e+07	2.38409e+07	2.05839e+07	1.5762e+07	1.71788e+07	1.73261e+07	2.58158e+07	2.98316e+07	2.97103e+07	1.65507e+07	1.53364e+07	2.06093e+07
P07275		PUT2		1	1	4.52905e+06	8.08077e+06	6.5928e+06	2.00551e+06	6.86536e+06		1.20557e+07	1.09765e+07	1.14154e+07	2.62552e+06	5.3049e+06	
P07277		ERG12		1	1		1.74471e+06					3.0663e+06	2.80408e+06	2.81696e+06	2.39756e+06	2.12363e+06	2.98868e+06
P07278		BCY1		7	7	1.21718e+07	1.39119e+07	1.38002e+07	5.77307e+06	5.92972e+06	4.08667e+06	1.60982e+07	1.68214e+07	1.42128e+07	5.92343e+06	6.36346e+06	5.53185e+06
P07280		RPS19A		4	0	3.83669e+08	4.40444e+08	4.49195e+08	2.58127e+08	2.28717e+08	2.17558e+08	4.36814e+08	3.9686e+08	3.9358e+08	2.09338e+08	2.14725e+08	2.18898e+08
P07283		SEC53		7	7	3.99548e+07	4.5834e+07	3.89285e+07	2.08168e+07	2.06035e+07	1.90312e+07	4.52016e+07	4.34204e+07	4.48177e+07	2.15355e+07	2.24315e+07	2.11446e+07
P07284		SES1		14	14	2.22088e+08	2.45714e+08	2.19746e+08	1.14245e+08	1.11047e+08	1.12516e+08	2.22301e+08	2.15e+08	1.95676e+08	1.0338e+08	1.00446e+08	9.95607e+07
P07305		H1-0		1	1	3.09911e+06	4.61098e+06	3.22296e+06	2.5141e+06	3.53002e+06	1.00467e+06	6.57681e+06		7.08677e+06	8.19272e+06	7.24176e+06	8.99842e+06
P07339		CTSD		3	3	8.12674e+06	9.27177e+06	9.5685e+06	1.49349e+07	1.20153e+07	1.17855e+07	1.08552e+07	1.2239e+07	1.17906e+07	1.26318e+07	1.31526e+07	1.29391e+07
P07342		ILV2		5	5	1.35164e+07	1.74203e+07	1.32659e+07	6.31539e+06	5.08594e+06	6.50336e+06	1.46389e+07	1.49013e+07	1.39135e+07	7.5377e+06	8.37261e+06	7.72547e+06
P07347		ARD1		3	3	1.58905e+06	1.56299e+06		503991		332059	2.56463e+06	2.70142e+06	2.66283e+06	1.32593e+06	1.30524e+06	1.31519e+06
P07355		ANXA2		18	6	3.54233e+08	3.82046e+08	3.42302e+08	4.69684e+08	4.22781e+08	4.06662e+08	3.47839e+08	3.67708e+08	3.60993e+08	3.90263e+08	3.80724e+08	3.66568e+08
P07384		CAPN1		3	3	6.45732e+06	7.4172e+06	9.7631e+06	1.72213e+07	1.3766e+07	1.2225e+07	9.4724e+06	1.01724e+07	1.03667e+07	1.01765e+07	1.00081e+07	1.00677e+07
P07395		pheT		1	1				1.9104e+06	1.19786e+06	1.32057e+06				1.74852e+06	2.98198e+06	2.75796e+06
P07437		TUBB		14	4	3.58451e+08	3.87506e+08	3.9285e+08	4.47977e+08	4.64784e+08	4.0778e+08	3.9647e+08	4.13387e+08	4.22816e+08	4.21486e+08	4.08968e+08	3.93269e+08
P07477		PRSS1		1	0										2.56366e+07	2.43042e+07	2.19567e+07
P07560		SEC4		2	2	3.0834e+07	3.94447e+07	3.74886e+07	1.56606e+07	1.49489e+07	1.46672e+07	3.72072e+07	2.9734e+07	3.0847e+07	1.49972e+07	1.6441e+07	1.37678e+07
P07602		PSAP		3	3	2.92352e+07	3.97719e+07	4.37965e+07	4.55298e+07	5.50057e+07	3.70755e+07	4.41333e+07	5.28839e+07	5.02408e+07	4.98439e+07	4.63413e+07	5.14355e+07
P07702		LYS2		7	7	8.34719e+06	1.00004e+07	8.47774e+06	3.478e+06	3.97375e+06	4.10132e+06	8.58756e+06	1.03926e+07	1.07364e+07	4.43929e+06	4.723e+06	6.05463e+06
P07703		RPC40		2	2	1.25384e+07	1.14899e+07	1.09442e+07	5.9895e+06	5.10665e+06	5.25834e+06	1.39714e+07	1.39524e+07	1.3405e+07	8.07265e+06	7.87929e+06	7.36488e+06
P07737		PFN1		7	7	4.5052e+08	4.89673e+08	4.74656e+08	5.54203e+08	6.09641e+08	6.10216e+08	5.06831e+08	5.15939e+08	5.0583e+08	5.71713e+08	5.48844e+08	5.29577e+08
P07741		APRT		3	3	2.61039e+07	3.49879e+07	3.15492e+07	4.95319e+07	6.25152e+07	4.36308e+07	3.36079e+07	3.66601e+07	3.78611e+07	4.24001e+07	3.72698e+07	4.67244e+07
P07806		VAS1		19	19	4.5333e+07	5.37732e+07	4.92203e+07	2.99854e+07	2.64843e+07	3.03608e+07	4.32036e+07	4.57443e+07	4.63439e+07	2.41413e+07	2.44734e+07	2.71391e+07
P07814		EPRS1		16	16	1.2652e+07	1.53325e+07	1.59847e+07	2.02835e+07	1.96338e+07	1.84919e+07	2.07678e+07	2.11296e+07	2.1294e+07	2.17242e+07	2.19772e+07	2.10495e+07
P07858		CTSB		1	1	5.22054e+06	4.58316e+06	5.00399e+06	3.86485e+06	4.16484e+06	3.97907e+06	6.14446e+06	8.05845e+06	3.9242e+06	3.88294e+06	3.76472e+06	4.10082e+06
P07900		HSP90AA1		10	5	1.11013e+08	1.31288e+08	1.13627e+08	1.2076e+08	1.21696e+08	1.18615e+08	1.33904e+08	1.28709e+08	1.19092e+08	1.23672e+08	1.20982e+08	1.18215e+08
P07910		HNRNPC		7	3	1.58546e+08	1.42151e+08	1.57741e+08	2.13637e+08	1.78428e+08	1.65257e+08	1.59447e+08	1.56877e+08	1.6052e+08	1.711e+08	1.70778e+08	1.60742e+08
P07951		TPM2		1	0	7.69232e+06	1.06539e+07	8.07361e+06	9.41943e+06	9.40032e+06	1.05936e+07	1.20872e+07	1.2012e+07	1.52257e+07	1.09981e+07	1.06903e+07	1.02227e+07
P07954		FH		6	6	4.25371e+07	4.70873e+07	4.79378e+07	6.68801e+07	5.09516e+07	5.09633e+07	4.26538e+07	4.27484e+07	4.3891e+07	4.85579e+07	4.67398e+07	4.50758e+07
P07991		CAR2		2	2	1.07702e+07	1.17572e+07	1.06068e+07	2.33903e+06	3.07628e+06	3.37443e+06	1.13543e+07	1.13162e+07	1.16873e+07	3.81758e+06	4.2982e+06	3.55354e+06
P07996		THBS1		4	4	6.9385e+06	7.86177e+06	7.63716e+06	8.01696e+06	9.02531e+06	8.33583e+06	8.4615e+06	9.40013e+06	9.14093e+06	1.13499e+07	1.05277e+07	9.01816e+06
P08133		ANXA6		4	4	3.29162e+06	4.08633e+06	4.1423e+06	3.57784e+06	5.2925e+06	4.56714e+06	5.05981e+06	5.38159e+06	4.58152e+06	5.33886e+06	6.09422e+06	5.73069e+06
P08134		RHOC		1	0	7.89032e+06	8.59694e+06	5.96351e+06	1.37659e+07	1.34064e+07	1.19918e+07	1.17036e+07	1.14817e+07	1.14028e+07	1.20709e+07	1.31096e+07	1.10075e+07
P08174		CD55		6	6	8.42787e+07	1.11174e+08	1.07423e+08	1.51707e+08	1.22713e+08	1.40516e+08	8.97624e+07	8.41971e+07	8.15593e+07	1.00974e+08	1.05161e+08	1.00655e+08
P08195		SLC3A2		14	14	6.36941e+07	7.19006e+07	6.54242e+07	9.56843e+07	9.74078e+07	8.78292e+07	6.84072e+07	6.97826e+07	6.99411e+07	7.64617e+07	7.34739e+07	7.78569e+07
P08200		icd		3	3	1.12097e+07	1.15915e+07	1.26604e+07	4.34695e+07	4.06828e+07	4.45954e+07	9.63048e+06	9.68105e+06	1.42658e+07	4.6567e+07	4.30641e+07	4.09237e+07
P08236		GUSB		1	1	510739	944612	705695	1.01324e+06	1.57757e+06	1.0726e+06	2.70384e+06	2.85066e+06	3.22185e+06	3.10352e+06	2.91178e+06	2.75283e+06
P08237		PFKM		1	1		1.67623e+06	715932	5.35756e+06	3.08857e+06	3.74596e+06	3.72061e+06	3.92264e+06	5.07404e+06	5.61452e+06	4.57422e+06	6.90946e+06
P08238		HSP90AB1		21	8	4.51343e+08	5.10224e+08	4.64873e+08	5.02529e+08	4.97453e+08	4.8466e+08	4.72418e+08	4.77322e+08	4.40397e+08	4.66457e+08	4.63921e+08	4.27601e+08
P08243		ASNS		7	7	1.48058e+07	1.59439e+07	1.53777e+07	2.36601e+07	1.90581e+07	1.67064e+07	2.05039e+07	2.19739e+07	2.37377e+07	2.27189e+07	2.34651e+07	2.72992e+07
P08417		FUM1		4	4	1.92121e+07	1.7779e+07	1.82934e+07	6.94679e+06	6.59823e+06	6.96929e+06	1.89079e+07	2.04222e+07	1.6815e+07	9.07915e+06	9.68364e+06	8.00423e+06
P08518		RPB2		6	5	2.22941e+07	2.45983e+07	2.18235e+07	7.85665e+06	8.28869e+06	9.06797e+06	1.65035e+07	2.07244e+07	1.76181e+07	8.50346e+06	8.88731e+06	8.62861e+06
P08524		ERG20		6	6	7.35123e+07	7.92805e+07	7.33501e+07	3.5388e+07	3.10386e+07	3.41028e+07	7.97225e+07	7.7069e+07	6.81633e+07	3.706e+07	3.81008e+07	3.46776e+07
P08559		PDHA1		4	4	4.34808e+07	5.95906e+07	5.60195e+07	6.58977e+07	6.16864e+07	6.84443e+07	5.48956e+07	5.64611e+07	5.59218e+07	5.78878e+07	5.6012e+07	5.69481e+07
P08566		ARO1		16	16	2.71774e+07	2.92675e+07	3.10816e+07	1.5247e+07	1.46216e+07	1.32572e+07	3.30885e+07	3.36721e+07	3.0785e+07	1.51922e+07	1.47581e+07	1.58009e+07
P08574		CYC1		2	2	1.90151e+06	2.15114e+06	1.71707e+06	1.36884e+06	1.18471e+06	1.59603e+06	4.10181e+06	3.18439e+06	3.10081e+06	2.7548e+06	3.08107e+06	2.50155e+06
P08581		MET		1	1				7.1671e+06	6.74319e+06	6.97668e+06	434610			6.04451e+06	5.68044e+06	5.49098e+06
P08621		SNRNP70		3	3	4.10572e+07	3.6159e+07	2.91984e+07	4.48082e+07	3.56918e+07	3.45721e+07	3.61811e+07	3.80252e+07	3.88687e+07	3.89798e+07	3.82342e+07	3.66577e+07
P08648		ITGA5		1	1	7.33336e+06	6.82372e+06	9.73406e+06	6.67593e+06	5.69768e+06	4.5321e+06	1.25646e+07	8.73526e+06	9.2923e+06	9.39712e+06	8.79427e+06	8.83674e+06
P08670		VIM		19	16	1.77867e+08	1.93104e+08	1.76259e+08	1.90733e+08	1.84818e+08	1.88366e+08	1.64074e+08	1.74201e+08	1.64552e+08	1.68545e+08	1.66884e+08	1.65386e+08
P08679		CIT2		2	2	1.19755e+06	1.89526e+06	2.19452e+06	266852		159109	2.06841e+06	2.26513e+06	2.2256e+06	857386	454862	599309
P08697		SERPINF2		2	2	1.22199e+07	1.48424e+07	1.10338e+07	1.80926e+07	2.41331e+07	1.96313e+07	1.65114e+07	1.58397e+07	1.55736e+07	1.86723e+07	1.73562e+07	2.00183e+07
P08708		RPS17		5	5	4.99273e+07	5.82127e+07	5.04234e+07	8.06831e+07	8.57933e+07	8.63049e+07	5.41713e+07	5.73795e+07	6.1466e+07	6.72361e+07	6.75545e+07	7.79074e+07
P08727		KRT19		9	7	2.03464e+07	2.46105e+07	1.96234e+07	1.87928e+07	1.93148e+07	2.1068e+07	2.3323e+07	2.32725e+07	2.18877e+07	2.25355e+07	2.28163e+07	2.10753e+07
P08729		KRT7		17	13	2.77232e+08	2.81477e+08	2.77536e+08	3.056e+08	3.26297e+08	2.98223e+08	2.61866e+08	2.67245e+08	2.68494e+08	2.86894e+08	2.70733e+08	2.66582e+08
P08754		GNAI3		1	1	1.75632e+07	2.11048e+07	1.71671e+07	1.55061e+07	1.63782e+07	2.1239e+07	1.03428e+07	1.11159e+07	1.12818e+07	1.40489e+07	1.28288e+07	1.26017e+07
P08758		ANXA5		9	9	6.08283e+07	7.04173e+07	6.50456e+07	1.05667e+08	1.11091e+08	1.01181e+08	6.38397e+07	6.48508e+07	6.75234e+07	7.48857e+07	7.66162e+07	8.61727e+07
P08839		ptsI		2	2				5.76199e+06	4.87355e+06	4.35474e+06	1.72371e+06		1.55238e+06	5.59855e+06	5.66105e+06	5.67848e+06
P08865		RPSA		7	1	1.45793e+08	1.49375e+08	1.4521e+08	1.73078e+08	1.78945e+08	1.4926e+08	1.42474e+08	1.41078e+08	1.38879e+08	1.37806e+08	1.46554e+08	1.35534e+08
P08962		CD63		1	1	6.27621e+06	1.26904e+07	1.0489e+07	8.16786e+06	6.97123e+06	5.99522e+06	1.56634e+07	1.20275e+07	1.22402e+07	1.10117e+07	9.92628e+06	1.05317e+07
P09012		SNRPA		2	2	2.2862e+07	2.54326e+07	2.06859e+07	2.04491e+07	1.72417e+07	2.07918e+07	1.95939e+07	1.78851e+07	1.76267e+07	1.96101e+07	2.07307e+07	1.98843e+07
P09032		GCD1		1	1	806695	967348	696078				2.40588e+06	2.41942e+06	2.82565e+06	1.26549e+06	953830	1.49148e+06
P09064		SUI3		4	4	3.30933e+07	4.0291e+07	3.7769e+07	2.37425e+07	2.99234e+07	2.74954e+07	2.34322e+07	2.61042e+07	2.53329e+07	1.57267e+07	1.4806e+07	1.83265e+07
P09110		ACAA1		1	1	2.78394e+06	3.12283e+06	2.58786e+06	5.02333e+06	5.10741e+06	5.57442e+06	2.88535e+06	2.89588e+06	3.05455e+06	3.47232e+06	3.68881e+06	4.58316e+06
P09232		PRB1		5	5	1.7772e+08	1.97044e+08	1.77137e+08	8.10506e+07	8.01169e+07	8.03339e+07	1.62783e+08	1.57435e+08	1.72778e+08	7.42428e+07	7.41734e+07	6.9037e+07
P09234		SNRPC		1	1	1.64631e+07	1.50746e+07	1.25413e+07	1.4595e+07	1.55967e+07	2.29711e+07	1.33473e+07	1.53254e+07	1.57378e+07	1.53808e+07	1.42738e+07	1.3467e+07
P09372		grpE		2	2	2.35887e+06	2.86045e+06	1.88908e+06	3.88638e+06	5.1848e+06	5.9365e+06	3.90344e+06	2.9387e+06	3.51419e+06	6.50316e+06	6.0191e+06	7.17102e+06
P09373		pflB		5	5	2.90933e+06			1.08883e+07	1.10653e+07	9.79354e+06	1.37197e+06	2.0622e+06		1.15542e+07	1.02852e+07	1.03308e+07
P09382		LGALS1		7	7	1.37289e+08	1.41472e+08	1.37121e+08	1.46239e+08	1.40146e+08	1.41159e+08	1.32793e+08	1.32671e+08	1.16554e+08	1.33398e+08	1.40647e+08	1.24077e+08
P09394		glpQ		3	3				1.0883e+07	8.40526e+06	1.03566e+07	3.62385e+06	4.43149e+06	3.59381e+06	1.33719e+07	1.33778e+07	1.25189e+07
P09417		QDPR		1	1		1.25451e+06	1.48094e+06	3.24815e+06	3.63244e+06	3.12857e+06	6.12872e+06	6.09964e+06	7.20404e+06	7.71869e+06	6.62245e+06	1.00481e+07
P09429		HMGB1		4	2	3.73997e+07	3.94539e+07	3.17696e+07	3.10137e+07	3.11405e+07	3.09431e+07	3.92541e+07	4.24874e+07	3.76918e+07	3.14717e+07	3.16637e+07	2.80343e+07
P09435		SSA3		2	1	1.86561e+07	1.88996e+07	1.62775e+07	1.6483e+07	1.64969e+07	1.68878e+07	1.59532e+07	1.65659e+07	1.70937e+07	1.01915e+07	9.90752e+06	1.2526e+07
P09436		ILS1		26	25	7.74505e+07	7.76901e+07	8.19756e+07	3.87583e+07	3.79597e+07	3.60207e+07	7.90482e+07	8.02537e+07	7.63929e+07	3.76302e+07	3.71401e+07	3.57676e+07
P09525		ANXA4		3	3	3.13542e+06	4.13805e+06	3.71654e+06	2.97648e+06	3.31236e+06	3.91529e+06	6.76492e+06	5.86639e+06	5.56158e+06	5.86507e+06	5.65115e+06	6.49679e+06
P09551		argT		1	1				5.23169e+06	2.16225e+06	5.51229e+06				8.1562e+06	8.12874e+06	7.81302e+06
P09620		KEX1		1	1							1.41092e+06	2.42902e+06	1.57403e+06			
P09622		DLD		2	2	2.66182e+06	2.73062e+06	2.72713e+06	3.38928e+06	2.39321e+06	2.74269e+06	5.97614e+06	6.67985e+06	5.89339e+06	5.89568e+06	5.78941e+06	4.43366e+06
P09624		LPD1		7	7	5.64315e+07	6.49832e+07	5.58248e+07	2.32512e+07	2.61448e+07	2.68303e+07	5.65062e+07	5.46064e+07	5.25884e+07	2.69775e+07	2.72706e+07	2.66909e+07
P09651		HNRNPA1		6	0	2.54487e+08	3.05881e+08	2.77478e+08	2.91941e+08	2.98803e+08	2.89059e+08	3.11659e+08	3.27308e+08	3.28122e+08	2.77871e+08	2.71433e+08	2.66336e+08
P09661		SNRPA1		4	4	2.41987e+07	2.54655e+07	2.42737e+07	2.46295e+07	2.31085e+07	2.53324e+07	2.75137e+07	2.73205e+07	2.52658e+07	2.77124e+07	2.75712e+07	2.73031e+07
P09733		TUB1		8	5	4.02951e+07	4.52256e+07	4.49555e+07	2.78993e+07	2.508e+07	2.07362e+07	4.09082e+07	4.31514e+07	4.37491e+07	2.22086e+07	2.1966e+07	2.09158e+07
P09734		TUB3		3	3	7.32227e+06	7.82461e+06	7.89074e+06	2.87194e+06	2.12788e+06	2.90879e+06	1.00841e+07	9.63078e+06	9.68e+06	4.28943e+06	3.88639e+06	3.87129e+06
P09874		PARP1		10	10	2.0495e+07	2.37931e+07	2.05351e+07	2.44133e+07	2.56877e+07	2.4293e+07	2.33805e+07	2.54186e+07	2.45161e+07	2.51841e+07	2.51585e+07	2.46683e+07
P09938		RNR2		11	11	1.51137e+08	1.61181e+08	1.59567e+08	9.08041e+07	9.18176e+07	9.07918e+07	1.64961e+08	1.69828e+08	1.71973e+08	8.51046e+07	9.38561e+07	8.60815e+07
P09950		HEM1		1	1	964424	1.16502e+06	178885				1.77685e+06	2.8025e+06	3.36971e+06	909442	343830	1.55959e+06
P09960		LTA4H		8	8	1.54729e+07	1.6362e+07	1.75863e+07	1.97881e+07	2.0137e+07	2.08486e+07	1.71725e+07	1.84778e+07	1.90433e+07	2.03738e+07	2.12485e+07	1.99476e+07
P09972		ALDOC		1	1	3.78722e+07	4.17162e+07	3.46626e+07	6.32604e+07	6.07867e+07	4.68947e+07	2.95325e+07	3.2666e+07	3.47986e+07	3.42342e+07	3.70871e+07	3.30138e+07
P0A6A8		acpP		2	2	1.04761e+07	1.00583e+07	1.0498e+07	6.74809e+07	6.26327e+07	5.8401e+07	1.50993e+07	1.92764e+07	1.88313e+07	6.03957e+07	6.11694e+07	5.50516e+07
P0A6F3		glpK		13	13	1.77719e+07	2.01405e+07	1.82654e+07	9.74855e+07	9.84279e+07	1.00368e+08	2.06168e+07	2.07046e+07	1.8345e+07	9.2524e+07	9.5044e+07	8.63172e+07
P0A6F5		groEL		6	6	4.77766e+06	5.24411e+06	4.58477e+06	3.31132e+07	3.49865e+07	3.2206e+07	5.90904e+06	6.22675e+06	8.50187e+06	2.84898e+07	2.72606e+07	3.04932e+07
P0A6F9		groES		1	1				2.51191e+07	2.28151e+07	2.1479e+07	3.49646e+06	6.35102e+06	5.40721e+06	2.08667e+07	2.2115e+07	2.09561e+07
P0A6K6		deoB		1	1				1.42821e+06	1.76287e+06	2.165e+06				3.86639e+06	2.42635e+06	3.02484e+06
P0A6M8		fusA		12	12	7.16354e+06	6.00548e+06	6.69717e+06	5.5163e+07	4.54867e+07	4.16912e+07	8.62175e+06	8.26125e+06	9.23389e+06	4.42726e+07	4.33081e+07	4.22479e+07
P0A6P1		tsf		7	7	5.46972e+06	5.59576e+06	4.53172e+06	2.475e+07	2.59477e+07	2.53338e+07	4.39255e+06	4.89739e+06	6.98771e+06	2.6259e+07	2.62224e+07	2.33336e+07
P0A6P9		eno		3	3	4.89385e+06	3.78947e+06	7.05587e+06	4.19716e+07	4.30507e+07	3.28219e+07	7.53446e+06	6.58672e+06	6.05477e+06	3.59936e+07	3.58541e+07	3.26837e+07
P0A6Y8		dnaK		5	5	1.12087e+06	794492	1.01245e+06	2.16991e+07	1.89869e+07	1.50655e+07	3.80901e+06	2.82814e+06	3.61205e+06	1.76954e+07	1.69864e+07	1.63476e+07
P0A707		infC		1	1					2.84184e+06	2.1914e+06	468170			1.7635e+06	3.22142e+06	2.12473e+06
P0A763		ndk		2	2	3.16376e+06	4.0264e+06	2.62044e+06	2.54327e+07	2.68151e+07	2.70041e+07	3.63813e+06	5.47756e+06	4.08993e+06	2.28605e+07	2.49392e+07	2.45218e+07
P0A799		pgk		7	7	8.28526e+07	7.96979e+07	8.13997e+07	1.64339e+08	1.7415e+08	1.89e+08	1.03397e+08	1.10676e+08	8.13861e+07	1.60458e+08	1.63212e+08	1.56097e+08
P0A7D4		purA		4	4		1.62789e+06		7.53368e+06	6.15827e+06	7.22589e+06	3.87479e+06	3.66541e+06	3.19125e+06	8.20921e+06	8.86273e+06	8.24136e+06
P0A7J3		rplJ		4	4	6.20486e+06	7.6982e+06	5.85648e+06	4.80192e+07	4.58125e+07	3.50614e+07	1.41038e+07	1.87626e+07	1.48314e+07	3.95237e+07	3.80279e+07	3.62101e+07
P0A7J7		rplK		1	1	2.16557e+06	1.5999e+06	2.10467e+06	1.68555e+07	1.73264e+07	1.61593e+07	4.00993e+06	2.77288e+06	3.76212e+06	1.88052e+07	1.95464e+07	1.74747e+07
P0A7K2		rplL		3	3	2.22277e+07	2.65791e+07	2.35279e+07	9.1764e+07	8.9354e+07	1.05852e+08	3.53115e+07	2.6148e+07	2.80539e+07	1.03392e+08	1.0255e+08	9.92895e+07
P0A7K6		rplS		1	1				1.84365e+07	1.50372e+07	1.95741e+07				2.02484e+07	2.1765e+07	1.98476e+07
P0A7L0		rplA		5	5	7.9973e+06	7.87581e+06	7.29929e+06	3.23337e+07	3.2615e+07	3.23622e+07	9.87821e+06	1.00533e+07	9.35364e+06	3.01244e+07	2.98212e+07	2.75227e+07
P0A7M2		rpmB		1	1				1.57575e+07	1.03854e+07	8.58258e+06	1.45404e+06		2.02161e+06	1.52174e+07	1.54592e+07	1.36314e+07
P0A7M6		rpmC		2	2				1.24618e+06		1.96054e+06				3.95771e+06	2.94087e+06	4.54133e+06
P0A7M9		rpmE		2	2				8.79072e+06	7.17497e+06	9.03801e+06	1.73518e+06	1.97354e+06		1.12344e+07	1.01934e+07	8.72488e+06
P0A7N9		rpmG		1	1				1.84337e+06	2.59794e+06	1.44304e+06				5.18283e+06	5.59597e+06	4.83102e+06
P0A7R1		rplI		4	4	8.91029e+06	9.28757e+06	8.10677e+06	3.51422e+07	3.60145e+07	3.00789e+07	1.15085e+07	9.50207e+06	7.43013e+06	3.47874e+07	3.43208e+07	3.28819e+07
P0A7R5		rpsJ		2	2	2.4609e+06	2.19405e+06	3.31061e+06	3.59319e+07	2.99001e+07	3.08571e+07	6.83016e+06	7.2131e+06	5.4722e+06	3.58262e+07	3.53986e+07	3.16579e+07
P0A7S3		rpsL		1	1	2.48959e+06	3.37238e+06	2.23174e+06	1.29001e+07	1.25516e+07	1.30864e+07	5.11271e+06	5.39927e+06	3.37385e+06	1.35558e+07	1.22088e+07	1.20089e+07
P0A7S9		rpsM		3	3	5.18006e+06	5.4231e+06	5.73736e+06	2.06712e+07	1.88624e+07	2.12625e+07	8.7222e+06	5.98727e+06	6.25787e+06	2.09192e+07	1.8561e+07	1.74702e+07
P0A7T3		rpsP		3	3	1.44804e+06	1.68765e+06	1.50436e+06	2.662e+07	2.2976e+07	2.37592e+07	5.32852e+06	4.96258e+06	4.76222e+06	2.10738e+07	2.13203e+07	1.91483e+07
P0A7T7		rpsR		1	1				1.80668e+07	2.03014e+07	1.86701e+07			5.1206e+06	2.31393e+07	2.11169e+07	2.06584e+07
P0A7U7		rpsT		1	1	793579	652640	739212	7.57655e+06	6.63999e+06	5.65961e+06	5.29747e+06	1.9687e+06	3.27747e+06	1.03349e+07	1.09878e+07	9.8505e+06
P0A7V0		rpsB		2	2	858483	1.76321e+06	2.43595e+06	1.34102e+07	1.17952e+07	1.4709e+07	3.90912e+06	5.1623e+06	3.44345e+06	1.4445e+07	1.36593e+07	1.3264e+07
P0A7V3		rpsC		4	4	3.3334e+06	3.12305e+06	2.78047e+06	2.39713e+07	2.2609e+07	2.68763e+07	4.35907e+06	4.82176e+06	4.08771e+06	2.51465e+07	2.53081e+07	2.37441e+07
P0A7V8		rpsD		2	2				9.68841e+06	1.00933e+07	6.79268e+06	878123	1.02349e+06	745065	8.39987e+06	7.57408e+06	9.79684e+06
P0A7W1		rpsE		2	2	3.86817e+06	5.1282e+06	3.75511e+06	1.70619e+07	1.54215e+07	1.62733e+07	3.5637e+06	3.10816e+06	4.71475e+06	1.42962e+07	1.45912e+07	1.37651e+07
P0A7X3		rpsI		2	2				1.09736e+07	1.2954e+07	1.18354e+07	6.96475e+06	6.08845e+06	3.75013e+06	1.37338e+07	1.30286e+07	1.53549e+07
