Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115025008.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115033552.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115204614.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115221736.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115213154.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115230314.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115174338.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115191457.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115182919.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115200036.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115042134.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115045713.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115002713.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115013840.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115010255.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115021423.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115144058.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115161218.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115152638.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115113819.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115165758.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115130939.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115122357.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115135518.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251114220425.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251114231551.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251114205301.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251114235131.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251114224008.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251114212844.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115100659.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115083541.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251114160714.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251114171857.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115105239.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115092119.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115053257.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115070419.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251114183015.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115075001.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115061839.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251114175434.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251114164316.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251114190554.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251114194135.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251114201718.raw
P0AC41		sdhA		6	6	3.49883e+06	7.39942e+06	3.44735e+06	3.65871e+06	6.35741e+06	5.99658e+06	4.96846e+06	3.80926e+06	6.47054e+06	6.73292e+06	4.26413e+06	6.73452e+06	4.29301e+06	4.01957e+06	6.79084e+06	7.38765e+06	4.53577e+06	4.52606e+06	6.98739e+06	4.19395e+06	7.68521e+06	4.2153e+06	7.46225e+06	6.46637e+06	3.38989e+06	4.07268e+06	4.22561e+06	7.53151e+06	7.65284e+06	8.26425e+06	5.78567e+06	4.64441e+06	4.1869e+06	4.62789e+06	4.83197e+06	7.29162e+06	6.8841e+06	4.79089e+06	4.49788e+06	6.5605e+06	3.68925e+06	6.71842e+06	6.79535e+06	6.87304e+06	7.01115e+06	6.63549e+06	5.36066e+06	6.62467e+06
P0AC59		grxB		2	2	175309	896311	152371	151323	723486	732116		164619	720669	545587		901561	159028		512118	581681	150765	165432	847149	118377	742822	144745	816787	767098	157909		201719	745882	732745	697600	174733	150927	100248	129183	136482	907224	909341	137991	116363	811748	196094	835560	934073	750249	779101	782410	215358	711108
P0AC62		grxC		3	3	436083	1.57083e+06	415420	518441	1.23045e+06	1.15971e+06	374141	437099	1.7923e+06	1.87498e+06	491443	1.33081e+06	493539	677383	1.78304e+06	1.85181e+06	303995	268480	1.16293e+06	431010	1.19385e+06	302852	1.39519e+06	1.34965e+06	327069	269891	450979	1.27402e+06	1.14224e+06	1.38367e+06	717951	709864	551582	622771	434113	1.77733e+06	1.6656e+06	658471	640417	1.57655e+06	437270	1.59046e+06	1.70326e+06	1.5029e+06	1.61064e+06	1.58853e+06	681203	1.72807e+06
P0AC69		grxD		2	2	242949	1.64892e+06	208651	278205	1.36665e+06	1.78593e+06	298450	320545	1.58011e+06	1.33042e+06	259147	1.35658e+06	395728	294930	1.27845e+06	1.34508e+06	214328	222420	1.00535e+06		1.251e+06	280598	1.29287e+06	1.3178e+06		371581		1.24423e+06	1.20571e+06	1.12655e+06	481211	254740	463715	469124		1.51052e+06	1.40872e+06		281995	1.40845e+06		1.39236e+06	1.52494e+06	1.47597e+06	1.42097e+06	1.24606e+06	356350	1.58867e+06
P0ACA3		sspA		5	5	235970	1.88564e+06	334586	194375	2.03392e+06	1.88242e+06	276752	273144	1.98463e+06	1.75211e+06	310425	1.67957e+06	280945	299920	1.8951e+06	1.9413e+06	271638	173614	2.03017e+06	249933	1.77917e+06	291564	1.76586e+06	2.02148e+06	309866	312477	252187	1.74048e+06	1.71963e+06	1.8102e+06	427374	268910	258535	217902	319950	1.84408e+06	1.91544e+06	250102	529673	1.79921e+06	246655	1.92661e+06	1.97844e+06	1.81485e+06	1.91408e+06	1.82635e+06	362112	1.94779e+06
P0ACC3		erpA		1	1		13228.6			19721.2	26136.9	4225.69		25290.7	28694.2		16766.8		8935.39	24881.7	32055.1			21139.2		18429.9		25301.6	29789.1	4664.31	3415.7	4396.06	35339	23671.2	28403.4	4551.94			4043.72		17330.7	24004.6	4629.46		22165.9		19651.8	25721.8	17095.7	18748.6	33991.2		20274.7
P0ACE7		hinT		1	1	46539.3	298780	50900.5	48243.7	222268	244174	52842.9	85293	244563	219448	66761	313859	65475.3	65985.1	254777	267457	46704.1	42228.1	212094	48451.1	215636	67290.1	213471	191199	55150.8	75975.2	50603.4	226918	219860	221567		98918	37189.7	48239.5	72909.4	239762	247869	45574	73473.8	239851	40459.6	197099	188150	254174	198410	233590		221775
P0ACF0		hupA		4	4	4.86719e+06	1.99644e+07	4.8596e+06	5.07141e+06	1.90066e+07	1.81242e+07	3.90524e+06	4.27588e+06	1.56094e+07	1.62152e+07	4.63597e+06	1.67443e+07	3.79876e+06	3.87621e+06	1.41284e+07	1.42889e+07	4.52307e+06	4.97879e+06	1.82973e+07	4.56725e+06	1.71936e+07	4.81115e+06	1.78704e+07	1.81535e+07	4.1693e+06	4.60433e+06	4.27187e+06	1.64143e+07	1.60708e+07	1.64066e+07	4.54774e+06	4.77391e+06	4.90686e+06	4.61257e+06	4.42097e+06	1.8964e+07	1.92707e+07	4.76592e+06	4.54401e+06	1.682e+07	4.21421e+06	1.74844e+07	1.76874e+07	1.69718e+07	1.69177e+07	1.69322e+07	4.22916e+06	1.67476e+07
P0ACF4		hupB		3	3		3.43762e+06				3.0964e+06	3.9268e+06	3.73163e+06	1.01945e+07	1.0006e+07	2.78915e+06	5.21476e+06	3.37679e+06	3.36297e+06	8.57327e+06	1.02372e+07			3.71805e+06	3.78219e+06	3.62397e+06	3.38894e+06	1.13655e+07	1.02514e+07		3.14556e+06	4.05877e+06	4.96482e+06	3.95492e+06	9.81091e+06	4.19054e+06			4.43735e+06				3.65741e+06	3.47515e+06	1.07666e+07		1.10243e+07	1.06937e+07	3.96543e+06	9.98759e+06	3.78744e+06	3.57159e+06	9.95675e+06
P0ACF8		hns		7	7	2.08074e+06	9.10103e+06	2.31825e+06	2.31449e+06	8.64646e+06	8.58733e+06	2.12582e+06	2.28181e+06	8.25359e+06	8.20869e+06	2.32463e+06	8.34952e+06	2.23174e+06	2.2204e+06	8.11991e+06	8.75381e+06	2.28341e+06	2.15174e+06	9.2131e+06	2.2051e+06	8.81816e+06	2.0888e+06	9.06002e+06	8.75607e+06	2.4096e+06	2.59126e+06	2.42923e+06	8.63808e+06	8.7126e+06	8.80255e+06	1.92344e+06	1.90807e+06	2.29272e+06	2.34857e+06	2.35762e+06	8.51121e+06	8.31123e+06	2.17556e+06	2.33123e+06	8.87729e+06	2.4972e+06	8.48469e+06	8.43836e+06	8.80008e+06	8.47768e+06	8.73417e+06	2.2978e+06	8.80702e+06
P0ACI6		asnC		4	4	494853	2.46595e+06	529549	467717	2.36301e+06	1.8728e+06	338598	337726	1.95886e+06	2.10672e+06	494357	2.43899e+06	565293	383497	2.07525e+06	2.04331e+06	414425	468982	1.95171e+06	353195	1.74048e+06	410366	1.80704e+06	1.97964e+06	426572	548670	595092	2.20364e+06	2.07492e+06	2.08539e+06	418977	668982	702950	462303	755087	1.82813e+06	1.78666e+06	525675	519159	2.1718e+06	503330	1.86475e+06	2.00793e+06	2.18111e+06	1.75671e+06	2.21686e+06	507108	2.14153e+06
P0ACJ0		lrp		2	2	1.64571e+06	4.23386e+06	1.04202e+06	2.11032e+06	3.63717e+06	5.22602e+06	939632	1.1562e+06	4.45062e+06	3.53655e+06	1.63005e+06	5.73129e+06	1.65107e+06	2.80007e+06	4.48545e+06	5.1327e+06	1.35301e+06	1.41839e+06	4.78626e+06	857578	4.32449e+06	2.24236e+06	4.56842e+06	3.75852e+06	1.24885e+06	2.33424e+06	1.60204e+06	4.92506e+06	4.16382e+06	4.56165e+06	1.88731e+06	1.70687e+06	1.61154e+06	1.87519e+06	1.91726e+06	4.82848e+06	5.79453e+06	1.5922e+06	1.51701e+06	4.79504e+06	1.76592e+06	5.53095e+06	4.15306e+06	5.45056e+06	4.95247e+06	5.62637e+06	2.61418e+06	5.51664e+06
P0ACJ8		crp		5	5	204783	1.07597e+06	227770	250129	862509	968500	149181	235459	1.00616e+06	867446	229458	1.04685e+06	240055	202052	888879	944879	162470	197045	900983	172916	955452	150254	895195	894931	175323	181037	250070	876372	881544	870719	256227	255440	284024	264403	283619	1.00731e+06	938128	214743	183721	951550	234087	910262	942291	945044	921413	866675	192409	911654
P0ACR4		yeiE		1	1			3.32934e+06	2.74173e+06																														4.19135e+06	3.494e+06						3.92807e+06			3.57881e+06	4.01725e+06		2.50166e+06	
P0ACY3		yeaG		5	5		487790		95720.3	490244	443472	136516	161851	474668	509070		416412	117514	147610	625924	524775	133509	64362	412820	239811	493076	183848	722114	586769	197607		123969	585221	544353	568715	174539	166343		208142	275980	600738	591577	150148	171021	613199		528162	657118	584150	617043	604530	240352	614963
P0AD33		yfcZ		2	2	59942.9	244568			175514	221794	38015.4	63285.8	125786	173388	54382	269089	61071.4		147832	170348			188305	74493	179104	62233.3	229393	129596	53063		86104.3	245196	189551	227517			87079.3		59582	207530	129161			189226		216042	152960	212554	177866	151019		208534
P0AD49		raiA		2	2		248310			635770	419438			598082	672678		638088		113072	845906	753484			594838	76182.4	572334		523524	708476			194295	685244	593925	633972	168039			283112	229006	617242	694144			635189	238305	598373	556191	688158	575219	663715		655792
P0AD61		pykF		12	12	276346	1.21663e+06	262505	255505	1.19129e+06	1.17144e+06	275380	250132	1.30342e+06	1.42834e+06	273817	1.24586e+06	245723	304752	1.35553e+06	1.13548e+06	274142	295108	1.08863e+06	305065	1.19604e+06	254625	1.26414e+06	1.2539e+06	266791	266016	279181	1.10773e+06	1.15752e+06	1.20123e+06	337085	296351	257866	333809	282385	1.18811e+06	1.09843e+06	347708	307493	1.42863e+06	289388	1.30425e+06	1.26789e+06	1.25835e+06	1.36043e+06	1.21726e+06	339532	1.30526e+06
P0ADB7		ecnB		1	1	218329	999136	206632	182042	907788	668478	175252	199164	806820	900198	196721	849000	234434	206408	956426	894705	255414	176390	912834	158921	803659	197846	712638	856472	266252	187732	185285	858327	823472	797641	175449	239708	195959	254911	243433	895662	827876	183493	174467	752920	221697	743697	860612	906757	795544	897276	188467	807274
P0ADE8		ygfZ		2	2	29777.8	459788		92132.8	323604	366121	43727	30568.7	365685	394547		405835		99613.6	431401	491172	35883.8	41654.3	365949	39241.8	345049	45825.6	350260	456038	51786.8	35067.5		353527	366637	337678	77349	90953.5	20737.4	56459.4	48964.5	533076	519564		81917.9	441218	77085	444316	489682	374447	364163	385651		369754
P0ADQ7		ygaM		1	1	323859	1.14521e+06	228166	243445	896633	948026	179861		775905	692430	314548	1.14342e+06	238230	151376	872613	901175	296847	261255	1.12028e+06	341473	1.18893e+06	379594	1.06632e+06	1.09409e+06	308216	325529	276717	1.15373e+06	1.02117e+06	1.00153e+06	315143	283488	202932	423837	254624	1.07145e+06	1.15478e+06	278845	239083	844182	212598	1.01548e+06	980428	988053	1.03627e+06	1.07153e+06	336099	1.17041e+06
P0ADV7		mlaC		3	3	518096	6.40906e+06		1.15941e+06	6.1768e+06	5.28968e+06	1.50063e+06	1.15789e+06	6.52133e+06	8.20157e+06	1.79552e+06	5.77987e+06	1.61977e+06		6.74714e+06	6.59489e+06		1.36983e+06	8.6438e+06	1.42566e+06	7.374e+06	1.71353e+06	7.53979e+06	9.40665e+06	1.20255e+06	1.84019e+06	1.15515e+06	8.03424e+06	7.74962e+06	6.89935e+06	2.14235e+06	1.04455e+06	760696		1.61136e+06	8.17143e+06	8.13658e+06	1.02738e+06	1.35229e+06	6.51952e+06	1.03574e+06	6.3528e+06	7.46439e+06	6.02578e+06	5.52446e+06	5.37441e+06	1.65316e+06	6.30279e+06
P0ADY3		rplN		4	4	936463	3.18153e+06	1.09312e+06	987231	3.05689e+06	3.2548e+06	880415	1.27407e+06	4.1204e+06	4.20219e+06	1.02307e+06	3.9467e+06	1.08456e+06	1.16479e+06	4.3607e+06	4.55159e+06	1.09031e+06	1.08938e+06	3.34964e+06	1.13782e+06	3.63847e+06	1.46079e+06	3.71962e+06	3.62075e+06	759080	803318	904506	4.04345e+06	4.06867e+06	3.95189e+06	859717	958645	1.05788e+06	928571	968540	3.92487e+06	3.44615e+06	896803	885520	4.05222e+06	904750	3.59725e+06	3.44608e+06	3.52579e+06	3.92666e+06	3.91973e+06	1.04201e+06	4.03106e+06
P0ADY7		rplP		2	2	312521	1.62619e+06	264276	295994	1.43242e+06	1.75532e+06	264897	274173	1.82903e+06	1.80212e+06	426111	1.60752e+06	392262	344915	1.6196e+06	1.6684e+06	272542	333687	1.666e+06	306385	1.92778e+06	341139	1.56175e+06	1.86281e+06	391790	385679	363807	1.78343e+06	1.81025e+06	1.81103e+06	252530	293074	247488	308849	322373	1.72773e+06	1.29833e+06	346873	354696	1.55813e+06	315019	1.49232e+06	1.65498e+06	1.48848e+06	1.61183e+06	1.5299e+06	352913	1.53003e+06
P0ADZ0		rplW		1	1					1.07352e+06	1.00751e+06			780725	974797		1.24671e+06						212493	1.13739e+06		1.12595e+06		1.20815e+06	1.14501e+06				1.45295e+06	1.00486e+06	1.10599e+06						670109	649008			814918		564133	552980					
P0ADZ4		rpsO		2	2	1.85204e+06	5.87118e+06	1.36848e+06	1.73492e+06	5.42151e+06	5.52604e+06	1.7833e+06	1.84808e+06	5.0887e+06	5.99965e+06	1.84783e+06	6.08305e+06	1.59107e+06	1.61478e+06	4.99992e+06	5.65222e+06	1.26632e+06	1.21079e+06	5.44044e+06	1.71638e+06	5.65831e+06	1.5646e+06	5.10303e+06	5.55269e+06	1.55195e+06	1.46168e+06	1.4921e+06	5.24374e+06	5.5007e+06	4.88293e+06	1.90871e+06	1.82134e+06	1.74625e+06	1.75251e+06	1.99559e+06	6.12352e+06	6.81307e+06	1.62491e+06	1.8043e+06	5.6386e+06	1.72558e+06	6.10317e+06	6.14803e+06	6.03575e+06	5.92872e+06	5.61006e+06	1.74808e+06	5.75717e+06
P0ADZ7		yajC		2	2	341303	1.39587e+06	229816	272513	1.49503e+06	1.32828e+06	219276	189966	1.38123e+06	1.33188e+06	393504	1.35789e+06	338678	371390	1.30063e+06	1.43034e+06	401260	304356	1.5455e+06	351706	1.37958e+06	228620	1.52712e+06	1.56081e+06	350181	386611	315054	1.32184e+06	1.47017e+06	1.39439e+06	455356	352854	370649	333702	340323	1.49869e+06	1.46108e+06	276316	430204	1.27212e+06	310442	1.42173e+06	1.44084e+06	1.29668e+06	1.18709e+06	1.24855e+06	436954	1.56287e+06
P0AE08		ahpC		9	9	3.50678e+06	1.28104e+07	3.26697e+06	3.29459e+06	1.26346e+07	1.25588e+07	2.71455e+06	2.77683e+06	1.0527e+07	1.14293e+07	3.53883e+06	1.19583e+07	2.87988e+06	2.71014e+06	1.04461e+07	1.04792e+07	2.88012e+06	3.06519e+06	1.09972e+07	2.78256e+06	1.0534e+07	3.10273e+06	1.12208e+07	1.12777e+07	2.99253e+06	3.02735e+06	3.0495e+06	1.08763e+07	1.13336e+07	1.09285e+07	2.70671e+06	2.6004e+06	2.69392e+06	2.87219e+06	2.7757e+06	9.96938e+06	9.5577e+06	2.79141e+06	2.59514e+06	1.02267e+07	2.67064e+06	9.85416e+06	9.82405e+06	1.01169e+07	1.03141e+07	1.00866e+07	2.67774e+06	1.02277e+07
P0AEE5		mglB		14	14	1.03117e+06	4.98716e+06	1.08917e+06	974274	5.11886e+06	5.52351e+06	994292	1.0842e+06	5.39715e+06	5.44239e+06	1.16237e+06	4.73556e+06	987451	953716	4.63151e+06	4.82276e+06	1.24321e+06	1.08045e+06	5.2772e+06	1.07686e+06	5.41686e+06	1.13294e+06	5.37199e+06	5.56565e+06	1.10725e+06	1.08292e+06	1.08802e+06	4.76902e+06	4.7405e+06	4.81877e+06	983654	914916	884484	945715	887015	4.57232e+06	4.90209e+06	965221	992112	4.04421e+06	879907	4.43922e+06	4.85885e+06	4.08693e+06	3.96199e+06	4.16639e+06	858078	4.19099e+06
P0AEH5		elaB		1	1	119551	348290	37663.8	80063	378671	263877	62104.6	74645.4	255091	299367	75582.6	386949	106492	71649	308002	306296	43345	50275.6	277801	65943.7	355685	67276.3	331719	302494	64028.4	67764.1	70595.9	320502	291883	299700	73087.2	69848.7	81980.7	56600.5	65963.7	302548	297522	54728.6		294129	79213.1	225975	297897	314040	320707	301765	88042.1	298177
P0AEK2		fabG		5	5	437961	1.74333e+06	475292	495130	1.655e+06	1.90079e+06	430206	515313	1.44396e+06	1.70129e+06	528705	1.76939e+06	569114	530338	1.55963e+06	1.53036e+06	395617	498308	1.51017e+06	394311	1.59862e+06	464557	1.73482e+06	1.56508e+06	489510	497641	504632	1.46514e+06	1.47195e+06	1.69651e+06	472304	443976	510571	549134	505814	1.64236e+06	1.60629e+06	549242	480494	1.66566e+06	497900	1.60018e+06	1.64583e+06	1.58307e+06	1.68945e+06	1.48599e+06	533803	1.6504e+06
P0AEK4		fabI		5	5	794275	3.93979e+06	877195	748699	3.4522e+06	3.38833e+06	1.05443e+06	817161	3.76709e+06	3.93663e+06	1.02131e+06	3.82482e+06	867721	892338	3.96498e+06	3.85114e+06	1.00788e+06	811169	3.77247e+06	829990	4.21549e+06	796354	4.18175e+06	4.02663e+06	1.0396e+06	1.1113e+06	1.18357e+06	3.43842e+06	3.83257e+06	3.88251e+06	1.31069e+06	1.16234e+06	1.01858e+06	1.10555e+06	887411	3.80523e+06	4.10017e+06	1.14963e+06	1.07668e+06	4.13411e+06	1.26463e+06	3.8505e+06	4.04923e+06	3.91214e+06	3.68047e+06	3.65233e+06	1.08054e+06	3.71133e+06
P0AEM9		tcyJ		9	9	588058	2.03755e+06	427931	492325	1.6884e+06	1.83647e+06	476814	462099	1.77052e+06	1.93517e+06	401199	1.82358e+06	470847	466454	1.8915e+06	1.90542e+06	587846	482920	1.68998e+06	396994	2.00752e+06	519117	1.88072e+06	2.03399e+06	526769	455419	547372	1.78177e+06	1.96496e+06	2.06763e+06	528723	476156	425063	567304	675817	1.86382e+06	1.99978e+06	609890	549682	2.04317e+06	547748	2.02854e+06	2.02981e+06	2.02898e+06	1.98728e+06	1.87256e+06	528984	2.05583e+06
P0AEP3		galU		2	2	378776	1.86157e+06	429640	460067	1.74718e+06	1.61588e+06	370377	430901	1.59471e+06	1.64939e+06	417437	1.73081e+06	434773	408223	1.68506e+06	1.54916e+06	353109	354559	1.27094e+06	350110	1.21876e+06	304579	1.35303e+06	1.25832e+06	315164	182725	452983	1.45502e+06	1.31997e+06	1.36276e+06	493725	343481	396681	605719	603874	1.69551e+06	1.55481e+06	275674	486414	1.60375e+06	502955	2.10874e+06	1.59971e+06	1.81744e+06	1.4933e+06	1.61404e+06	537866	1.75184e+06
P0AEQ3		glnH		8	8	205677	1.10618e+06	256070	224122	1.08927e+06	1.05546e+06	148599	222086	1.02026e+06	879438	194068	1.00644e+06	178770	222654	975774	1.00415e+06	193620	214230	969712	217132	935481	192832	1.00985e+06	994463	245822	270963	235428	973026	908591	968532	238801	183648	163197	274783	262415	939470	1.01879e+06	226684	222744	1.00363e+06	222351	884575	933790	928432	905367	936949	289111	958209
P0AES4		gyrA		4	4	35295.7	370016	63524.8	67912.1	316714	363961	37196	59687.8	378211	386851	60656.3	383771	63501.5	65497.4	325155	340171	48565	50744	354673	55012	295486	65080.9	271633	306221	50128.4	55153.2	46485.6	341830	324259	310017	93945.7	68539.7	89653.7	134451	62204.9	393285	421665	72247.2	76933.8	363855	62550.6	356209	354837	347342	308213	377652	101939	377609
P0AET2		hdeB		2	2	576572	3.52513e+06	558818	636414	3.42104e+06	2.88539e+06	570045	638678	2.7528e+06	3.12802e+06	621816	3.2128e+06	592150	503278	3.00697e+06	3.01463e+06	560038	539790	3.19611e+06	603143	3.09844e+06	575485	3.00147e+06	3.1086e+06	533969	628525	542236	3.09435e+06	3.09464e+06	2.92906e+06	623383	535888	521129	545153	585856	3.38332e+06	2.71545e+06	505416	491644	3.14098e+06	534030	3.06623e+06	2.85459e+06	2.89484e+06	3.08274e+06	2.88141e+06	689561	3.03986e+06
P0AET8		hdhA		1	1	67299.9	338327	62486.3	68037.8	428250	387898			280903	294845	42751	288948		37286.3	289498	289690	63212.5	37842.7	246193	36565.9	288044	41297.5	334086	434513	56461.7		54896.4	345762	225718	292240		41299.6		56954.1	44176.5	286610	454356	41902.8	90001.9	278049		358034	431709	293144	354529	336749		260664
P0AEU7		skp		5	5	768513	2.57087e+06	631686	482169	1.94398e+06	2.15953e+06	650086	528148	2.18327e+06	2.16358e+06	744869	2.21987e+06	614909	623223	2.3336e+06	2.2881e+06	547401	548516	2.36729e+06	589448	2.07507e+06	604108	2.20905e+06	2.21298e+06	570971	664976	590291	2.28516e+06	2.32177e+06	2.24724e+06	591996	537865	650655	754871	730735	2.14894e+06	2.26929e+06	574052	424548	2.20905e+06	599679	2.26137e+06	2.26791e+06	2.24488e+06	2.36811e+06	2.07748e+06	649768	2.23989e+06
P0AEX9		malE		13	13	1.26479e+06	5.34513e+06	1.28377e+06	1.37176e+06	5.35588e+06	4.99504e+06	1.38519e+06	1.43361e+06	5.27711e+06	5.40193e+06	1.38225e+06	4.96886e+06	1.48778e+06	1.45072e+06	5.00856e+06	5.21526e+06	1.3371e+06	1.35464e+06	5.25799e+06	1.27469e+06	5.13402e+06	1.4918e+06	5.30739e+06	5.35203e+06	1.31986e+06	1.34215e+06	1.29764e+06	5.2506e+06	5.2982e+06	5.1704e+06	1.53026e+06	1.47544e+06	1.52954e+06	1.42025e+06	1.50616e+06	5.73667e+06	5.65975e+06	1.51671e+06	1.49549e+06	5.36779e+06	1.45178e+06	5.24613e+06	5.48588e+06	5.3475e+06	5.22483e+06	5.29954e+06	1.48527e+06	5.32093e+06
P0AEZ3		minD		2	2	39086.8	217953			194248	250501			251486	243907	19038.3	193740		25203.6	310348	241107	27745.1	36062.5	218636	51784.6	216689	101552	309483	242134		49025.9	21037.8	196400	186624	239272	77583.3	78863.9	47570.7			297079	223401	90350.9		213277	77875.6	274537	276191	279315	269384	249274		271923
P0AF12		mtnN		2	2	388916	1.25571e+06			991484	1.22534e+06	697518	793197	1.08407e+06	1.30344e+06		1.07498e+06	1.04166e+06	795291	1.22382e+06	1.51507e+06	824905	690605	1.3207e+06	751734	1.59473e+06	684626	1.24276e+06	1.36197e+06	767949	661846	475865	1.48447e+06	1.07298e+06	1.52123e+06	1.03972e+06	754206	810578	757045	753435	1.09121e+06	1.00249e+06	859198	899330	942897	856997	1.12759e+06	1.02561e+06	1.03221e+06	871048	795006	853471	902815
P0AF36		zapB		1	1	129828	370135	86652.7	124722	317255	328411	125454		425634	438982		383180	138555	165113	450807	497681	93260.6	134086	395438	112287	444307	91574.6	558940	351652	129813	138551	145241	458536	508994	408872	221886	113288		168679	132205	375933	459458	196028	166218	649174	177985	443337	570994	562486	474621	507835	170613	454552
P0AF93		ridA		3	2	708265	3.31991e+06	964212	908507	3.09677e+06	3.36039e+06	735741	753425	2.52144e+06	2.77832e+06	933387	3.31471e+06	768370	695167	2.61736e+06	2.67158e+06	884961	916344	3.55379e+06	848862	3.26061e+06	901800	3.34144e+06	3.2535e+06	778031	912130	999021	3.14242e+06	3.18443e+06	3.13741e+06	850156	908617	855090	898014	779414	3.17216e+06	3.13135e+06	951654	875581	3.00137e+06	799715	3.21922e+06	3.10551e+06	2.83687e+06	2.89753e+06	2.92718e+06	900402	3.11207e+06
P0AF96		tabA		3	3	109899	587949	120239	181809	511762	592219	143674	111944	598888	578810	121275	514526	148651	152252	503913	570647	157148	185572	553462	129892	461413	148838	557548	509974	136181	95704.3	156338	495568	517998	520940	138308	196237	112405	194175	141178	511227	543851	153975	128119	606048	187831	567023	454858	583477	574494	484129	89234.6	543574
P0AFF6		nusA		3	3		569545			562872	550273	125826		464159	543118	160886	264915	134960		435816	620854	21752.2		359319		407138		384038	556951		139882	49272.2	461062	422044	511421	188525			129049		459816	570114			583884	144607	598952	529306	567100	646689	589242	182468	656686
P0AFG0		nusG		2	2		227038	87113	79057.2	388934	348202	81799.8	107844	378333	429587	87532.7	278917	116513		363500	433281	43128	65705.9	257753	95400	289833	69574.3	330804	373165			124944	325745	264985	371672	77976.3	71126.4	79583	127974	75865.4	433519	433028	46759.3	40691.5	309457		410465	296920	380429	410010	318496	49761.7	349089
